first_active_month,card_id,feature_1,feature_2,feature_3,target,year,month,authorized_flag_mean,category_1_N_mean,category_1_Y_mean,category_3_A_mean,category_3_B_mean,category_3_C_mean,purchase_amount_mean,installments_mean,category_2_mean,month_lag_mean,authorized_flag_sum,purchase_amount_sum,installments_sum,category_2_sum,purchase_amount_max,installments_max,purchase_amount_min,installments_min,authorized_flag_mean_right,category_1_N_mean_right,category_1_Y_mean_right,category_3_A_mean_right,category_3_B_mean_right,category_3_C_mean_right,purchase_amount_mean_right,installments_mean_right,category_2_mean_right,month_lag_mean_right,authorized_flag_sum_right,purchase_amount_sum_right,installments_sum_right,category_2_sum_right,purchase_amount_max_right,installments_max_right,purchase_amount_min_right,installments_min_right
2017-06,C_ID_92a2005557,5,2,1,-0.8202826,2017,6,0.95,1.0,0.0,0.9846153846153847,0.015384615384615385,0.0,-0.6383413054615387,0.015384615384615385,1.0461538461538462,-3.9115384615384614,247,-165.96873942000005,4,272.0,2.25839456,1,-0.73939454,0,1.0,1.0,0.0,1.0,0.0,0.0,-0.5758348786956522,0.0,1.0,1.4782608695652173,23,-13.244202210000001,0,23.0,-0.29611244,0,-0.72436803,0
2017-01,C_ID_3d0044924f,4,1,0,0.39291325,2017,1,0.9685714285714285,0.9114285714285715,0.08857142857142856,0.0,0.7885714285714286,0.2057142857142857,-0.6000181038000002,1.5514285714285714,1.0,-5.031428571428571,339,-210.00633633000007,543,319.0,4.6302994,10,-0.74239984,-1,1.0,1.0,0.0,0.0,1.0,0.0,-0.7259558283333333,1.0,1.0,1.5,6,-4.355734969999999,6,6.0,-0.70185831,1,-0.73940957,1
2016-08,C_ID_d639edf6cd,2,2,0,0.68805599,2016,8,0.9534883720930233,1.0,0.0,1.0,0.0,0.0,-0.6783114206976744,0.0,4.627906976744186,-8.604651162790697,41,-29.16739109,0,199.0,-0.14584732,0,-0.73013821,0,1.0,1.0,0.0,1.0,0.0,0.0,-0.70032561,0.0,5.0,2.0,1,-0.70032561,0,5.0,-0.70032561,0,-0.70032561,0
2017-09,C_ID_186d6a6901,4,3,0,0.1424952,2017,9,1.0,0.8441558441558441,0.15584415584415584,0.0,0.8831168831168831,0.09090909090909091,-0.6427449915584414,1.0909090909090908,3.4461538461538463,-2.831168831168831,77,-49.49136434999999,84,224.0,1.44559551,3,-0.74089719,-1,1.0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.0,-0.6649102657142857,0.7142857142857143,4.0,1.7142857142857142,7,-4.6543718599999995,5,24.0,-0.56673992,1,-0.73413526,-1
2017-11,C_ID_cdbd2c0db2,1,3,0,-0.15974919,2017,11,0.9624060150375939,0.8872180451127819,0.11278195488721804,0.0,0.9473684210526315,0.05263157894736842,-0.3660726039097745,1.368421052631579,3.7542372881355934,-1.2857142857142858,128,-48.68765632,182,443.0,7.19304093,12,-0.74615647,1,1.0,0.9444444444444444,0.05555555555555555,0.0,0.9444444444444444,0.027777777777777776,-0.5535065708333332,0.9722222222222222,3.6176470588235294,1.5555555555555556,36,-19.926236549999995,35,123.0,0.45088551,2,-0.73939454,-1
2016-09,C_ID_0894217f2f,4,2,0,0.87158529,2016,9,0.9696969696969697,0.9696969696969697,0.030303030303030304,0.0,0.24242424242424243,0.7575757575757576,-0.4174615415151516,3.0,1.125,-2.5454545454545454,32,-13.776230870000003,99,36.0,0.03371949,10,-0.67928849,1,1.0,1.0,0.0,0.0,0.25,0.75,-0.3500162975,2.75,1.0,1.75,4,-1.40006519,11,4.0,-0.00009016,5,-0.65449475,1
2016-12,C_ID_7e63323c00,3,2,1,0.23012899,2016,12,0.9346153846153846,1.0,0.0,1.0,0.0,0.0,-0.7131599259615387,0.0,4.984615384615385,-6.6461538461538465,243,-185.42158075000006,0,1296.0,-0.55072166,0,-0.74212936,0,1.0,1.0,0.0,1.0,0.0,0.0,-0.720521242,0.0,5.0,1.2,5,-3.60260621,0,25.0,-0.68834948,0,-0.74202418,0
2017-09,C_ID_dfa21fc124,3,2,1,2.13584976,2017,9,0.8636363636363636,1.0,0.0,1.0,0.0,0.0,-0.6166293027272727,0.0,3.1818181818181817,-1.7272727272727273,19,-13.56584466,0,70.0,-0.05568825,0,-0.74540514,0,1.0,1.0,0.0,1.0,0.0,0.0,-0.6994340366666667,0.0,3.0,2.0,3,-2.09830211,0,9.0,-0.69732031,0,-0.70182826,0
2017-08,C_ID_fe0fdac8ea,2,1,0,-0.06540639,2017,8,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,0.9333333333333333,0.06666666666666667,-0.5805582986666666,1.0666666666666667,1.0,-4.2,11,-8.70837448,16,11.0,-0.2514236,2,-0.74615647,1,1.0,1.0,0.0,0.0,1.0,0.0,-0.631579315,1.0,1.0,1.0,2,-1.26315863,2,2.0,-0.58071457,1,-0.68244406,1
2016-08,C_ID_bf62c0b49d,2,2,0,0.30006168,2016,8,0.8761061946902655,1.0,0.0,0.9734513274336283,0.02654867256637168,0.0,-0.6813904750442481,0.02654867256637168,1.0353982300884956,-5.876106194690266,99,-76.99712368000003,3,117.0,-0.37133516,1,-0.74330143,0,1.0,1.0,0.0,1.0,0.0,0.0,-0.7134487633333334,0.0,1.0,2.0,3,-2.14034629,0,3.0,-0.66621543,0,-0.74164852,0
